sample,cnf-01-run-1,cnf-01-run-2,cnf-01-run-3,cnf-02-run-1,cnf-02-run-2,cnf-02-run-3,cnf-03-run-1,cnf-03-run-2,cnf-03-run-3,cnf-04-run-1,cnf-04-run-2,cnf-04-run-3,cnf-05-run-1,cnf-05-run-2,cnf-05-run-3,cnf-06-run-1,cnf-06-run-2,cnf-06-run-3,cnf-07-run-1,cnf-07-run-2,cnf-07-run-3,cnf-08-run-1,cnf-08-run-2,cnf-08-run-3,cnf-09-run-1,cnf-09-run-2,cnf-09-run-3
HG00232,True,False,True,False,False,False,False,False,True,False,True,True,False,True,True,True,False,True,False,True,False,True,False,False,False,False,True
HG00233,False,False,True,True,True,True,False,False,False,True,True,True,False,True,True,False,False,False,True,False,True,False,True,False,True,True,True
HG00234,True,True,True,True,True,True,True,True,False,True,False,True,True,False,False,False,True,True,True,True,True,True,False,False,True,False,True
HG00235,False,False,False,True,True,True,False,False,True,True,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False
HG00236,True,False,True,True,True,True,False,False,True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True
HG00237,True,True,False,False,True,True,False,False,True,False,True,False,True,True,True,False,False,False,True,False,False,False,True,False,True,False,False
HG00238,False,True,True,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,True,False,False,True,True,True
HG00239,True,False,True,True,False,True,False,False,False,True,True,True,True,False,False,True,True,True,False,False,False,True,True,False,True,True,True
HG00240,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True,True,False,True,True,True,True,False,True
HG00242,True,True,False,False,True,True,False,False,False,False,True,False,True,True,False,False,True,False,False,False,True,True,True,False,False,False,False
HG00243,True,False,False,True,False,True,False,True,False,False,False,True,True,False,True,True,True,True,False,True,False,True,False,False,False,True,True
HG00244,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,True,True
HG00245,True,True,True,True,True,True,False,False,True,False,True,False,True,True,False,True,True,False,False,True,False,True,True,True,False,True,False
HG00246,True,False,False,True,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,True,True,True,False,True,False
HG00250,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,True,True,False,True,True,True
HG00251,False,True,False,True,False,True,True,False,False,True,True,True,True,False,False,True,False,False,True,True,False,False,False,False,True,True,False
HG00252,False,True,True,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,False
HG00253,True,True,False,False,True,True,False,False,True,False,True,False,False,False,True,False,False,True,True,True,True,False,True,True,True,False,False
HG00254,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,False,False,True,True,False,True,False,False
HG00255,True,False,True,False,False,True,False,True,False,True,True,True,True,True,False,True,False,False,False,False,False,True,True,True,False,True,True
HG00256,True,False,False,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,False,False,True,False,False,False,True,True,True
HG00257,True,False,False,True,True,True,False,False,False,True,True,True,True,True,False,True,False,True,False,True,False,False,True,True,False,False,False
